description,evaluate,info,name,rank,star
希望让人自由。,1092409人评价,"导演: 弗兰克·德拉邦特 Frank Darabont主演: 蒂姆·罗宾斯 Tim Robbins /...
1994/美国/犯罪 剧情",肖申克的救赎,1,9.6
风华绝代。,797483人评价,"导演: 陈凯歌 Kaige Chen主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
1993/中国大陆 香港/剧情 爱情 同性",霸王别姬,2,9.5
怪蜀黍和小萝莉不得不说的故事。,1015277人评价,"导演: 吕克·贝松 Luc Besson主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
1994/法国/剧情 动作 犯罪",这个杀手不太冷,3,9.4
一部美国近现代史。,865237人评价,"导演: Robert Zemeckis主演: Tom Hanks / Robin Wright Penn / Gary Sinise
1994/美国/剧情 爱情",阿甘正传,4,9.4
最美的谎言。,505625人评价,"导演: 罗伯托·贝尼尼 Roberto Benigni主演: 罗伯托·贝尼尼 Roberto Beni...
1997/意大利/剧情 喜剧 爱情 战争",美丽人生,5,9.5
失去的才是永恒的。 ,804746人评价,"导演: 詹姆斯·卡梅隆 James Cameron主演: 莱昂纳多·迪卡普里奥 Leonardo...
1997/美国/剧情 爱情 灾难",泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,806369人评价,"导演: 宫崎骏 Hayao Miyazaki主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
2001/日本/剧情 动画 奇幻",千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,458040人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 连姆·尼森 Liam Neeson...
1993/美国/剧情 历史 战争",辛德勒的名单,8,9.4
诺兰给了我们一场无法盗取的梦。,895932人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan主演: 莱昂纳多·迪卡普里奥 Le...
2010/美国 英国/剧情 科幻 悬疑 冒险",盗梦空间,9,9.3
小瓦力，大人生。,589372人评价,"导演: 安德鲁·斯坦顿 Andrew Stanton主演: 本·贝尔特 Ben Burtt / 艾丽...
2008/美国/爱情 科幻 动画 冒险",机器人总动员,10,9.3
英俊版憨豆，高情商版谢耳朵。,805077人评价,"导演: 拉库马·希拉尼 Rajkumar Hirani主演: 阿米尔·汗 Aamir Khan / 卡...
2009/印度/剧情 喜剧 爱情 歌舞",三傻大闹宝莱坞,11,9.2
永远都不能忘记你所爱的人。,565404人评价,"导演: 莱塞·霍尔斯道姆 Lasse Hallström主演: 理查·基尔 Richard Ger...
2009/美国 英国/剧情",忠犬八公的故事,12,9.3
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,682824人评价,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 蒂姆·罗斯 Tim Roth / ...
1998/意大利/剧情 音乐",海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,543656人评价,"导演: 克里斯托夫·巴拉蒂 Christophe Barratier主演: 杰拉尔·朱诺 Géra...
2004/法国 瑞士 德国/剧情 音乐",放牛班的春天,14,9.2
一生所爱。,597007人评价,"导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
1995/香港 中国大陆/喜剧 爱情 奇幻 冒险",大话西游之大圣娶亲,15,9.2
